Date,Amount,Location,Store,Fraudulent
1999-05-22,548.68,Johnhaven,Davenport-Blevins,False
1970-09-18,583.93,East Debraview,Mann Inc,False
1970-03-19,389.95,Jenniferfurt,Jimenez LLC,True
2018-10-01,461.47,Gonzaleztown,"Clark, Hood and Kennedy",True
1991-11-17,218.94,Moranmouth,"Valencia, Griffin and Taylor",True
1983-11-08,846.36,West Carolynbury,"Cain, Morris and Barker",True
1992-05-26,50.14,Keithburgh,Wood-Davis,False
2007-11-14,343.94,East Michaelberg,"Bradford, Miller and Munoz",False
2003-10-28,968.13,North Larry,"Hayes, Stewart and Reed",False
2021-06-01,602.86,New Michaelfurt,"Delgado, Luna and Zimmerman",True
2020-12-27,924.14,West Shannon,"Daniels, Patel and Burke",False
1977-08-04,685.38,East Joshualand,Rodriguez-Powell,False
2021-12-17,349.58,Katiechester,"White, Mcpherson and Barron",True
2013-10-11,269.12,Lake Gregoryton,Bonilla-Campbell,True
1992-07-18,438.74,Lake Andrea,Smith Group,True
1994-05-29,554.13,New Brittanyton,Lee-Johnson,True
1996-07-28,394.22,Ricktown,Odom-Cook,False
1986-06-27,603.91,Jeffreyville,Garcia-Jordan,False
2011-06-22,135.74,Donaldburgh,Reed and Sons,False
2015-07-14,783.61,West Davidmouth,"Johnson, Massey and Smith",True
1999-04-06,956.13,South Matthew,"Braun, Flores and Potter",False
1976-08-26,235.35,Mendozafurt,Medina PLC,False
2007-08-08,395.15,Grayville,"Williamson, Cooper and Lewis",True
2016-08-19,9.36,North Justinberg,Ortiz Group,True
1993-06-19,629.34,New Brian,Taylor Inc,True
1978-04-11,68.15,Michelleburgh,Rios LLC,True
1984-01-14,50.67,Hallstad,"Mendoza, Lane and Miles",True
1986-07-31,131.91,Crawfordchester,Gomez LLC,True
1981-01-12,34.11,West Dianeton,Smith PLC,False
1982-06-10,185.81,Dixonmouth,Torres Inc,True
2003-10-03,252.0,Lake Joshua,"Cummings, Simpson and Ruiz",True
1987-06-16,129.01,Angelaburgh,"Walters, Ramos and Wright",True
1991-12-27,395.55,Sherriburgh,"Rodriguez, Pena and Peterson",False
2015-09-21,700.73,Port Markburgh,"Schmidt, Garza and Walker",True
1998-04-17,217.02,East Amandafort,"Roth, Hodges and Barry",True
1982-07-17,555.06,Port Wayneberg,"Johnson, Mcpherson and Wilkerson",False
1978-12-07,429.25,West James,Fuller-Murphy,True
1974-05-18,658.07,South Sara,Davis PLC,False
1990-09-12,261.1,Lake Saraton,"Allen, Smith and Edwards",False
1991-04-10,19.91,Stewartfort,Johnson LLC,True
1971-10-20,389.88,Port Steven,Santiago and Sons,True
2016-07-11,665.34,Port Bill,"Gould, Shelton and Hernandez",False
2016-09-18,466.45,Stephanieborough,Wallace-Williams,True
2024-06-01,674.99,Mathewview,Henry-Ramirez,True
1987-12-16,556.14,Brookestad,Conrad-Brooks,False
1998-03-10,204.16,Nixonfort,Valdez-Buchanan,False
2014-02-04,526.92,Andersonmouth,"Watson, Anderson and Wallace",True
1989-07-08,992.86,Bobbyport,"Cervantes, Jones and Smith",True
1979-12-23,833.86,Port Willie,Jackson Group,False
1972-06-04,182.76,Bradleystad,Wilson Ltd,False
1990-02-17,451.97,South Dawnburgh,Ellis-Thomas,False
1990-09-29,905.72,West Debraport,"Peterson, Scott and Flores",False
2018-03-28,30.53,New Diana,Cooper-Davis,True
1998-08-27,362.44,Kennethland,"Anderson, Hernandez and West",False
2019-04-09,152.03,Ruizton,Schultz-Avery,False
2006-08-30,797.93,South Alexander,"Reid, Sosa and Walker",True
2005-07-30,186.32,North Chad,Peterson Group,True
1975-10-08,799.51,Marquezberg,"Dougherty, Young and Mendez",True
1990-08-12,965.45,Port Virginiabury,Wilson and Sons,False
2009-07-13,882.04,Dawntown,Richardson Inc,False
1996-01-12,638.47,Lake Jasonhaven,Petersen Ltd,True
1984-12-17,532.43,Lake Nicolefurt,Kelly-Robinson,True
2002-05-06,731.24,Port Samantha,"Branch, Anderson and Davis",False
1995-03-04,450.12,Jonesmouth,Lewis-Davis,True
1985-07-31,204.79,Waltersside,Cole-Williams,True
2010-01-19,73.8,Gallegosview,Day and Sons,True
1982-09-27,958.33,Lake Dianahaven,Rodriguez LLC,True
1985-02-01,258.63,North Tammy,Nguyen-Pennington,False
2001-12-18,411.26,Rosshaven,"Moses, Collins and Ball",False
1986-08-15,681.7,Odonnellmouth,Pena Inc,True
2019-07-15,8.49,West Carol,"Hall, Hurley and Wallace",True
1989-07-31,857.85,New Robertchester,Friedman-Swanson,False
2020-06-03,392.62,New Kennethchester,"Klein, Small and Lawson",True
2018-10-09,266.58,North Joshua,"Stanley, Frederick and Kennedy",True
1992-05-14,142.87,New Julie,"Gray, Tran and King",True
2009-01-12,626.03,Alyssaborough,Bryant PLC,False
1978-11-08,423.02,Bishopmouth,Salas-Ramos,True
1992-03-16,326.85,Jeremymouth,Murphy Inc,True
1995-10-25,562.26,Port Justinville,Meyers-Diaz,True
2012-06-13,677.02,Reyesfurt,Mitchell and Sons,True
1976-08-14,287.7,Port Rodneyhaven,Thomas-Sanchez,False
1991-06-26,224.91,Paulaport,Potter-Michael,True
2006-09-23,895.57,Moorefort,Evans-Williams,False
2019-05-23,490.84,Johnsonchester,"Guzman, Salazar and Coleman",True
1993-06-26,850.05,East Connorfurt,Huerta and Sons,False
1971-11-11,211.31,North Barbara,Prince-Delacruz,True
1997-09-23,548.58,South Anitamouth,Austin-Rodriguez,False
1980-01-26,367.37,New Amandabury,Meyer-Gill,False
1986-03-25,259.35,Lake Carlos,"Lewis, Mayer and Schmidt",False
2010-08-10,899.92,Rasmussenshire,Parker-Sutton,False
1976-10-23,182.24,Hamiltonchester,"Thompson, Harris and Brady",True
2024-10-22,989.38,East Kristen,"Luna, Hubbard and Lang",False
1991-02-17,546.16,Bushland,"Pena, Dawson and Simpson",False
2011-05-03,109.81,South Anthony,Harris Group,False
1987-01-05,236.91,North Rachel,Ferguson Inc,False
2018-06-10,498.83,East Madison,"Simpson, Harrison and Salazar",False
2023-05-05,94.19,New Tanyaberg,Smith Ltd,True
2002-09-30,643.63,West William,"Bolton, Woodward and Navarro",True
2002-10-29,502.24,Louisborough,"Branch, Graham and Ross",True
1980-12-08,962.64,Rebeccaberg,"James, Parks and Clark",True
2008-09-20,531.88,New Debrahaven,Becker-Dominguez,True
2004-10-06,48.48,New Huntertown,"Robinson, Walker and Holland",False
1996-07-16,170.54,New Brentberg,Sanders-West,True
1976-06-12,906.94,Barbaraport,Ford LLC,True
2005-07-06,107.11,West Mike,"Swanson, Smith and Watson",False
1987-12-01,651.9,South Gregory,Salazar-Fernandez,False
2007-12-04,827.93,Port Laceyland,Hurst and Sons,True
2006-01-05,399.1,Lake Chelseaport,"Burns, Lopez and Morgan",True
1989-09-17,189.7,South Erikahaven,Avila-Strong,False
2000-06-05,652.69,South Michelemouth,"Stewart, Moran and Barr",False
1996-11-05,717.57,Helenbury,Blanchard Inc,False
2000-12-22,52.44,Lake Martinfort,Berry-Adams,True
2013-09-01,415.38,West Meaganport,Cole Ltd,True
1971-01-15,624.0,Kleinbury,Woods-Davis,True
2023-04-08,850.78,Port Robert,Collins PLC,True
1978-08-26,303.25,North Brandonshire,Hart Group,True
1978-09-19,751.83,Kingshire,Moran Group,True
1992-08-13,957.9,New Brianton,"Smith, Howard and Deleon",True
2013-03-25,671.89,Lake Jessicaville,Vance-Fisher,False
2022-04-23,746.03,Donaldfort,Carter-Barrett,False
2015-08-21,400.51,West James,Thomas-Brennan,False
1992-10-15,769.38,Brittanyburgh,Martinez Ltd,False
2002-06-30,196.74,Stephenmouth,Mcdonald-Bennett,False
1999-10-25,378.74,East Edward,Young LLC,False
2018-01-16,943.66,Kaylaland,Sanchez-Smith,True
1980-02-05,62.55,Jeffreyport,Brown-Briggs,True
2004-12-07,527.61,Walkerbury,"Reeves, Cox and Washington",True
1981-12-22,123.63,East Margaret,Hurley-Sandoval,False
1971-12-26,927.67,North Bettychester,Atkinson Ltd,False
2015-08-20,434.63,Sanchezshire,Holmes Group,True
2011-01-06,184.79,Lake Erika,"Miller, Collins and Johnson",False
2007-07-13,437.82,North Pamela,"Baker, Rodriguez and Flores",True
2008-04-21,910.82,Lake Jacob,"Carr, Pham and Compton",False
1985-02-17,436.85,Crystalfort,Lee-Roberts,False
1970-06-05,513.56,Francostad,"Shepherd, Griffith and Barnes",False
1991-12-10,947.68,Fordtown,"Ramos, Rojas and Bell",True
1983-01-13,464.9,Raymondside,"Rice, Williams and Brown",True
2008-12-19,756.43,Chandlerfort,"King, Burns and Cherry",False
2008-10-28,542.89,Port Anthony,"Gomez, James and Kim",False
1973-04-15,203.62,Schaeferberg,Griffin-Wilson,False
1970-06-19,422.56,East Alexis,"Kelly, Macias and Saunders",False
2011-12-05,798.72,Adamborough,"Yang, Lopez and Santos",True
1998-05-20,683.88,West Jeremyshire,"Lee, Shelton and Torres",False
1985-09-20,79.73,Tracymouth,Hughes-Palmer,True
1991-09-06,586.98,Port Carlyhaven,Turner-Acevedo,False
2018-12-25,405.36,Smithfurt,Foster-Wolf,True
1982-01-01,700.83,New Alejandro,Perez Inc,True
2000-01-27,699.84,East Kaylaside,Richard LLC,True
1993-02-11,152.09,Lake April,"Garcia, Wong and Hardy",False
1970-09-05,730.61,North Andrew,Scott Inc,True
2013-06-30,579.48,North Robinview,"Hall, Sandoval and Hays",True
2012-04-19,131.69,Richardland,Howard-Smith,True
1992-10-03,791.08,Anthonymouth,Mcconnell Ltd,False
2014-08-02,93.95,Jessicaberg,Myers Ltd,False
2003-09-02,383.2,Drakefurt,"Church, Scott and Ferrell",True
2015-06-12,887.47,East Zachary,"Rodriguez, Marquez and Lawson",False
2015-02-16,463.76,Michellefurt,"Gardner, Taylor and Torres",True
2012-10-21,235.21,Lake Kristen,Palmer and Sons,True
2024-04-07,264.77,South Thomasberg,"Fowler, Chan and Potts",True
1997-12-11,22.65,Johnsonport,Torres-Gomez,False
2015-02-02,783.02,Ruizside,"Moss, Martinez and Newman",False
1996-05-22,617.22,Beckchester,Robertson LLC,False
1978-01-17,75.77,Matthewberg,Richards-Walls,False
2001-10-13,826.89,South Lauramouth,Greene-Pace,True
1994-11-27,149.94,Maryburgh,Guzman-Ramirez,True
1983-02-13,653.21,Lake Amandachester,Nelson Inc,True
1982-04-08,160.86,Taramouth,Beard LLC,False
2020-04-10,610.26,Lake Carolyn,Todd and Sons,True
1979-06-01,570.73,Carpentershire,Wallace Inc,False
2003-11-08,511.03,Lopezton,Preston-Hudson,True
2012-07-01,302.32,Port Jenniferborough,"Wilkerson, Wilson and Mendoza",True
2019-06-08,57.71,Stevenport,"Dominguez, Khan and Ellis",True
1976-12-26,759.53,Lake Matthewmouth,Stewart Ltd,False
1985-02-02,981.37,West Michaelfort,"Wolf, Owens and Cox",True
2021-05-13,795.79,Williamborough,Jordan-Jackson,True
2010-04-15,98.04,Tuckermouth,"Clark, Campbell and Norris",False
2022-12-18,896.32,Port Bonnie,Santiago-Green,False
1982-11-01,60.81,Petersonton,Watts Ltd,False
2019-04-06,182.63,Knightburgh,Ward-Everett,True
2008-03-03,124.37,Wilsonborough,"Cook, Harris and Green",True
2015-01-23,225.06,Suzanneland,"Armstrong, Griffin and Jackson",False
1984-08-23,74.26,Hernandezland,Chapman-Brock,True
2012-05-01,785.5,Barnesberg,"Anderson, Church and Ho",False
2008-05-29,921.69,Campbellside,Martinez Inc,True
2022-02-09,913.35,New Allisonfort,"Harris, Gould and Brown",False
1979-06-10,774.92,Jamesside,Stephenson Group,True
2001-05-03,351.4,East Marystad,Clark-Burch,True
1978-06-12,334.32,West Benjamin,Smith-Reyes,False
1987-02-18,67.54,Port Codytown,"Jones, Castaneda and Martinez",False
1974-11-21,831.98,North Lauren,Yates Inc,True
1973-05-23,640.83,Bruceburgh,"Rose, Foley and English",True
1998-04-02,22.97,Edwardsberg,Rhodes PLC,True
1992-09-25,746.48,Jillhaven,Valencia-Cuevas,False
2013-03-05,480.74,Lake Edwinhaven,"Reyes, Vincent and Martinez",True
2018-11-09,450.2,Pinedatown,Bruce-Page,True
1992-05-29,231.07,Alexandratown,"Herman, Dawson and Chandler",True
2007-08-22,471.09,East Kimberly,Jones-Turner,True
1989-01-26,473.48,West Dustin,Combs Inc,True
2005-06-08,153.28,Andersonview,Griffin and Sons,False
1980-11-12,609.12,Jerryton,Smith-Smith,True
2018-08-12,912.91,Samuelfurt,"Smith, Meyer and Gibson",True
2009-08-05,962.34,East Brettport,"Johnson, Kaiser and Hayden",True
1995-02-19,46.33,Luisland,Wilson Inc,False
1978-10-28,446.64,Michaeltown,"Padilla, Parker and Miller",False
2006-10-03,497.35,New Hannah,Mcdowell Ltd,False
1988-12-01,998.56,Millerchester,"Luna, Hernandez and Fox",True
1979-06-10,789.0,Lake Kirkmouth,Ruiz PLC,False
1992-12-27,686.49,Andersonport,"Mcgee, Munoz and Shields",True
2000-12-01,258.46,Reyeston,Morales-Thompson,True
1986-03-02,503.04,New Tiffanyfort,"Dodson, Davis and Morgan",True
2000-08-30,593.6,Port Ginamouth,Li PLC,True
1986-01-19,233.92,East Keithbury,Thompson-Scott,True
1990-02-22,800.73,West Jeffrey,Reed PLC,False
2009-10-04,854.38,North Jamie,Rosario LLC,False
1978-06-24,528.22,North Edwinside,Fuller PLC,False
2004-04-07,172.09,Gabrielmouth,"Schultz, Zimmerman and Young",True
1996-04-20,152.73,Foxton,Thompson Inc,False
2016-07-07,812.64,Nancychester,Lopez-Trevino,False
2015-02-02,528.81,East Zachary,Fowler Inc,False
2023-03-24,869.71,Port Jasonmouth,Harris Inc,False
2001-04-15,444.97,Port Susan,"Villanueva, Freeman and Murphy",True
1987-07-30,919.53,Alexanderfurt,"Freeman, Diaz and Morris",True
1977-04-15,52.38,Melissahaven,Pearson LLC,False
1996-05-28,185.1,Daystad,Clark PLC,False
1991-12-06,115.72,Lake Aprilstad,Foster-Dawson,True
1980-07-28,868.11,Derekport,"Duffy, Sanchez and Maynard",True
2008-03-08,186.11,Lake Samanthaberg,"Marquez, Dunn and Lowery",True
2007-07-16,410.93,Port Whitneyhaven,"Knox, Hernandez and Sanchez",True
2009-11-04,549.39,Port Michael,Peterson Group,False
1995-02-25,55.86,East Evelynborough,Sanchez Ltd,False
1972-07-08,371.0,Simston,"Jacobson, Johnson and Baker",False
1970-08-30,236.56,Nataliestad,"Adams, Day and Zimmerman",True
1990-03-13,967.1,Wesleybury,Frank-Soto,True
1997-06-18,955.86,Curtisberg,Reed-Crawford,True
2004-01-30,750.6,West Jennifer,"Diaz, Garza and Chavez",False
1970-04-14,191.88,Lake Amyview,Woods-Montoya,True
2024-10-07,576.17,Holtland,Hernandez LLC,False
1973-05-14,913.51,South Ryanfort,Hull and Sons,False
2003-12-01,204.22,New Tammy,"Thompson, Cox and Carter",True
2000-05-12,642.53,Maldonadoberg,Gutierrez-Cole,True
1981-07-18,847.48,Port Tiffanyhaven,Thompson-Alexander,True
2013-10-10,487.44,Kimberlyville,Reynolds-Brown,False
1989-07-28,100.23,Garymouth,"Hayes, Chandler and King",False
2021-05-20,394.89,Jessicaberg,Johnson Group,False
2016-08-27,886.08,Port Justin,Ortiz Inc,False
1992-05-21,172.84,Olsonton,"Howard, Simpson and Allison",True
1986-11-07,582.74,Shepherdhaven,"Williams, Sims and Banks",False
2010-02-14,174.61,New Frankfurt,Petersen-Armstrong,False
1992-10-05,909.49,West Jeffery,Williams Ltd,False
2024-12-06,792.54,Lake Jocelynmouth,Nguyen Group,True
2005-12-13,451.29,South Melanieville,Ramirez-Robinson,True
2009-05-07,196.81,Robertborough,Armstrong Group,False
1991-04-10,294.96,West Dwayneburgh,Ramirez-Johnson,True
1989-03-20,595.26,Lake Morgan,Johnson Ltd,True
2010-12-08,838.52,East Janice,Martin-Crawford,True
2024-09-19,134.79,Scottville,"Gilbert, Burton and Shaw",True
1971-06-14,419.86,Cherylhaven,Day Ltd,False
1984-12-08,791.12,Hallville,Patton and Sons,True
1985-07-01,734.7,Louischester,Davis Group,False
1986-05-27,577.6,Huffview,Simpson-Guerrero,False
2003-09-30,218.0,Nathantown,Griffith Inc,False
1978-10-04,118.97,Masonchester,Dougherty-Smith,False
2010-03-11,869.92,Courtneychester,Green-Villanueva,True
1980-09-09,619.92,Lake Sara,Cook Ltd,False
1987-06-08,568.37,Lake Natalie,Sanchez PLC,False
1991-03-24,18.7,South Nicoletown,"Campbell, Morrison and Burns",False
2006-04-28,102.34,Allenborough,Rivera-Davis,False
2005-08-12,902.84,Jenniferside,"Howe, Hall and Fry",False
1979-06-15,875.56,South Maryton,Mitchell Group,False
1979-02-09,201.14,West Paul,"Bass, Simpson and Hendrix",True
1987-03-25,492.78,Mariabury,"Fisher, Erickson and Brown",True
1975-05-03,663.65,Bettyview,Nash-Peterson,True
1975-03-23,79.13,North Patrick,Cook Group,True
1971-06-06,967.16,Christyshire,Thompson PLC,True
2020-07-07,243.59,New Cody,Farmer PLC,True
2004-09-15,210.48,North Sarahton,"Guerrero, Olson and Glover",False
2004-02-08,220.2,East Emilymouth,Leach-Gonzalez,True
1995-08-05,351.18,Wagnerberg,"Peck, Smith and Salazar",False
1988-04-30,328.28,Port Adrienneborough,"Mendez, Bender and Charles",False
2024-02-13,822.37,Fowlermouth,Good-Burns,True
1975-12-07,301.82,North Charles,Valdez and Sons,True
1973-01-05,84.85,Melendezstad,"Hensley, Ray and Johnson",False
2013-09-03,114.79,Gutierrezhaven,"Morris, Alvarado and Nguyen",False
1984-05-23,280.81,North Dylan,Acosta-Beck,True
1992-08-05,193.2,Guerraborough,Jones Group,False
2022-11-16,356.19,Jennaside,"Roach, Stevenson and Banks",True
2016-08-31,309.69,Joelchester,Graham-Graves,False
2019-08-14,268.65,Wandashire,Gordon-Young,True
2024-06-11,99.99,Harpermouth,"Richards, Kramer and Barber",False
1995-09-08,576.55,Lake Shelly,"Smith, Vasquez and Davis",False
2018-01-23,723.68,Sarahberg,"Burns, Woodard and Price",False
1990-04-03,133.96,West Stephen,Kline Group,False
1990-03-22,628.99,Wendymouth,Hernandez Inc,True
1970-02-26,128.58,New Marcport,"Velasquez, Le and Reed",True
2005-05-06,453.58,Danielside,Palmer Group,False
2015-03-08,766.68,North Wendyview,"Hill, Alexander and Berg",True
1987-10-11,905.18,Wallaceberg,"Gilbert, Oneal and Hudson",False
2016-07-10,518.24,Heatherhaven,"Torres, Green and Burton",True
2004-04-16,486.08,Markberg,"Long, Barron and Jones",True
1996-10-16,123.83,Andersonside,Vaughn-Thompson,False
1996-08-25,752.17,Port Brittanyside,"Johnson, Juarez and Figueroa",True
1975-11-14,738.16,West Ryan,Dennis-Nelson,True
2018-08-12,589.64,Murphytown,Raymond LLC,True
1997-07-16,96.92,Taylorland,"Stone, Moran and Finley",False
1975-11-12,689.78,Rodriguezburgh,"Thomas, Jones and Gray",True
2015-10-15,837.26,Hughesborough,"Sanchez, Medina and Lewis",True
2009-11-03,375.33,Guerrahaven,Myers-Jacobs,True
1994-08-12,713.38,Barkerberg,"Johnson, Villa and Oneill",False
2004-11-24,708.16,Lutzton,Moses LLC,False
1973-04-21,486.38,Guzmanstad,Williams LLC,True
1993-11-29,672.94,Amandafurt,Booker LLC,False
1997-01-03,680.93,Dunnburgh,Anderson-Cantu,True
2006-09-23,692.63,Rachelchester,"Byrd, Carter and Hernandez",True
2021-03-01,160.68,Brianport,"Lewis, West and Ellis",True
2008-10-28,309.39,Roberttown,Lee Group,True
2013-01-06,158.54,Lake John,"Roberts, Ellis and Kelley",False
1991-05-22,435.92,Joseville,"Greene, Chang and Conley",False
1994-08-10,595.61,Pughchester,Martin Group,False
1994-10-27,549.74,Lake Jennifer,Landry Inc,True
2019-09-14,826.26,North Frederick,Harris PLC,True
2007-12-30,204.72,East Jonathanmouth,Fisher Group,False
1997-01-06,664.98,Adkinsfurt,Tran-Harper,True
1994-03-23,947.17,Stanleyshire,Davis and Sons,False
2018-06-18,599.92,Lake Angelaland,"Garcia, Roberts and Bennett",False
1990-07-14,109.73,Shieldsport,Barton Group,True
2011-06-15,299.98,Mcleanside,Raymond PLC,False
2022-04-09,792.29,Ashleymouth,Wiggins Ltd,True
1989-08-01,734.48,West Susanfurt,Coffey LLC,False
1972-02-17,81.84,Lake Kimberly,Howard and Sons,False
2006-07-23,12.96,Deanfurt,"Greene, Harmon and Gay",True
1988-02-08,990.86,Brownview,Daniel-Luna,False
1971-04-29,400.79,New Bobby,Barker-Schultz,False
1970-02-07,939.66,Mcbrideport,Wells-Nielsen,False
1973-05-30,761.18,Veronicaview,Arnold Group,True
1992-12-15,202.61,Laurenton,Lewis Inc,True
2013-12-26,443.08,Amberchester,"Sanchez, Mcneil and Vang",True
2012-10-23,931.07,Jennifermouth,Parker-Smith,False
1995-07-23,72.38,South Brandonbury,"Taylor, Buchanan and Young",False
1991-11-12,830.04,East Jeffreymouth,"Garcia, Gardner and Fitzgerald",True
1978-09-22,814.35,South Eric,White-Marshall,False
2015-09-25,649.54,Maryburgh,"Shelton, Clark and Huff",True
2013-02-15,196.15,West Ericaton,Bartlett LLC,False
1984-06-19,381.01,West Billbury,Johnson-Sanchez,True
2023-04-03,145.78,New Shelby,"Lewis, Moody and Brown",False
2020-08-12,414.94,West Denisefort,Young-Huerta,False
1974-08-15,703.97,Lake Laura,Newton LLC,True
1988-09-19,509.6,Ebonyberg,Bruce-Brown,True
2013-11-26,266.48,Malonemouth,Davis-Johnson,False
1987-08-02,545.63,Hernandezmouth,Mcbride and Sons,False
2010-06-14,228.26,South Margaret,"Bailey, Novak and Campbell",True
1970-03-30,319.24,South Markfurt,Johnson Inc,True
1977-10-03,931.45,Ryanbury,Bailey PLC,True
1970-05-30,432.85,North Christina,Reyes-Henderson,True
1999-05-29,893.65,Christianside,Robinson and Sons,False
2007-09-30,91.56,West Krista,Dunlap-Miller,False
1997-06-03,351.65,East Williamville,"Lang, Maddox and King",False
1975-08-26,5.99,South Dawnborough,Martinez-Bass,True
1979-12-21,611.28,Susanville,Gamble-Wilson,False
1972-02-14,396.54,Molinamouth,Ross Inc,False
2020-08-11,588.28,Port Adamchester,"Powell, Wiley and Williams",False
2023-07-28,40.77,Patriciaville,Petty-Miller,True
2021-03-01,321.21,Nicoleberg,Mitchell Group,False
1978-12-20,431.65,East Stephenville,Blankenship-Mack,True
1998-08-13,267.17,Ronaldton,Hughes Inc,True
1976-02-08,119.06,Hamiltonbury,Sanders-Warner,True
2022-08-01,905.83,Port Nathanmouth,Griffith-Coffey,True
2021-12-04,361.72,East Jason,Fields PLC,True
2019-11-21,572.0,West Lori,Mahoney Ltd,False
2012-03-17,187.87,Elizabethview,"Duncan, Morris and Ray",True
2004-12-22,23.08,Cabreraberg,Williams Ltd,True
1971-02-10,393.34,Phillipside,Rosales Group,False
1999-09-19,387.37,New Anna,"Sanchez, Beck and Shields",False
1996-03-02,418.36,Christinestad,Fields-Garcia,True
1978-04-15,508.0,Rowlandshire,Hughes PLC,True
1975-06-09,91.86,Murrayside,Gray-Bailey,False
2018-12-01,626.47,Lake Jeffery,Odom Ltd,False
2021-12-22,545.56,North Thomasmouth,Collins-Douglas,False
2020-03-06,461.29,Mckenzietown,Benson-Lee,True
2001-01-04,610.91,Shellytown,"Brown, Reid and Wiley",False
2006-06-21,704.46,East Jasontown,Oliver Ltd,False
1970-08-15,591.61,Jonesstad,Rivas-Willis,False
1988-02-04,879.78,Morganport,Hughes-Greene,True
1989-03-22,700.6,North Eileen,"Moore, Kelly and Gregory",False
1987-02-05,430.02,Port Justin,Sweeney-Perez,False
1998-01-05,236.25,New Kevinport,Chen PLC,True
1989-02-05,250.39,Ramirezstad,Nelson Group,True
1985-11-12,704.39,Walkerland,Aguilar-Sanchez,True
2008-04-19,780.53,Benjaminberg,Marshall-Ball,True
2009-02-23,601.15,West Billybury,Wilcox-Bennett,False
1971-09-06,884.08,Madisonmouth,"Orr, Mann and Yu",True
1994-09-02,699.98,Jonathanburgh,Graham Ltd,False
2010-12-06,681.72,West Elizabethberg,"Davidson, Webb and Weaver",False
1981-12-12,725.94,North Jeremymouth,"Smith, Moore and Scott",False
1997-12-21,582.37,Pearsonmouth,Hodges and Sons,False
1990-07-27,653.87,Sanderschester,"Gray, Cooper and Wright",False
2000-12-08,838.77,Lake Michael,Allen-Carter,True
2002-12-30,97.28,Erichaven,Smith Ltd,True
1970-01-31,672.0,South Sarah,Mullins LLC,False
2021-04-24,849.97,Elizabethmouth,Green-Anderson,True
2010-12-21,477.63,Port Angel,Keith-Smith,True
2015-07-12,582.03,Port Maxwellburgh,Smith LLC,False
2011-01-18,736.83,South Matthew,"Palmer, Barnes and Miles",True
2006-09-21,275.04,Cannontown,Thompson LLC,True
1990-03-24,414.42,Terryland,"Mack, Hopkins and Herrera",False
2024-07-06,24.86,Josephchester,Ramsey Inc,False
1979-05-17,944.92,North Ricardo,Acevedo Ltd,False
2009-04-15,601.61,Johntown,Bishop Group,True
1981-02-23,325.91,Goodwinside,"Waller, Holloway and Kramer",False
2013-02-10,508.99,South Candiceborough,"Escobar, Valdez and Brock",True
1998-02-02,348.82,Rileyfurt,Kemp-Morrow,False
2007-01-05,104.82,New Lindsayburgh,Clark Inc,True
2016-03-03,546.03,North Frank,White-Shepherd,False
2010-06-15,87.58,Samanthamouth,Frank PLC,True
1984-11-04,957.1,Lake Margaretmouth,"Cline, Christian and Rasmussen",False
1981-12-06,830.52,Bryantside,"Bradshaw, Miller and Burton",False
2010-11-02,904.97,North Jeffery,Casey-Kline,False
1997-05-24,777.09,Lake Robert,Morris Group,False
2003-07-27,116.72,Tinaborough,"Adams, Bailey and Murillo",False
